category,context_condition,model,neg_Non-target,neg_Target,nonneg_Non-target,nonneg_Target,new_bias_score,accuracy,acc_bias
Gender_identity,ambig,deberta_base,15.0,12.0,6.0,30.0,0.33333333333333326,0.4166666666666667,19.444444444444436
Gender_identity,ambig,deberta_large,15.0,30.0,30.0,15.0,0.0,0.16666666666666666,0.0
Gender_identity,ambig,existing_prediction,18.0,17.0,20.0,17.0,-0.05555555555555558,0.3333333333333333,-3.7037037037037055
Gender_identity,ambig,roberta_base,15.0,15.0,15.0,9.0,-0.11111111111111116,0.5,-5.555555555555558
Gender_identity,ambig,roberta_large,15.0,18.0,12.0,18.0,0.1428571428571428,0.4166666666666667,8.333333333333329
Gender_identity,disambig,deberta_base,15.0,24.0,27.0,3.0,-0.21739130434782605,0.4722222222222222,-21.739130434782606
Gender_identity,disambig,deberta_large,21.0,18.0,21.0,15.0,-0.12,0.4444444444444444,-12.0
Gender_identity,disambig,existing_prediction,14.0,22.0,21.0,16.0,0.041095890410958846,0.3148148148148148,4.109589041095885
Gender_identity,disambig,roberta_base,24.0,18.0,15.0,27.0,0.0714285714285714,0.3611111111111111,7.14285714285714
Gender_identity,disambig,roberta_large,27.0,15.0,21.0,18.0,-0.18518518518518523,0.3055555555555556,-18.518518518518523
